STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT22,Steiermark,2017,,90.33,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT22,Steiermark,2018,,87.99,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT22,Steiermark,2019,,85.55,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT22,Steiermark,2020,,85.97,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT22,Steiermark,2021,,94.12,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT22,Steiermark,2022,,92.64,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT31,Oberösterreich,2011,,76.05,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT31,Oberösterreich,2012,,76.80,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT31,Oberösterreich,2013,,82.81,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT31,Oberösterreich,2014,,80.42,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT31,Oberösterreich,2016,,85.81,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT31,Oberösterreich,2017,,88.89,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT31,Oberösterreich,2018,,89.64,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT31,Oberösterreich,2019,,88.68,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT31,Oberösterreich,2020,,90.44,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT31,Oberösterreich,2021,,95.98,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT31,Oberösterreich,2022,,92.25,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT32,Salzburg,2011,,76.45,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT32,Salzburg,2012,,80.38,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT32,Salzburg,2013,,78.85,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT32,Salzburg,2014,,85.14,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT32,Salzburg,2016,,85.69,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT32,Salzburg,2017,,88.07,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT32,Salzburg,2018,,89.98,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT32,Salzburg,2019,,89.76,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT32,Salzburg,2020,,88.08,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT32,Salzburg,2021,,96.00,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT32,Salzburg,2022,,92.52,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT33,Tirol,2011,,74.27,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT33,Tirol,2012,,73.94,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT33,Tirol,2013,,83.94,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT33,Tirol,2014,,81.70,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT33,Tirol,2016,,84.17,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT33,Tirol,2017,,89.32,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT33,Tirol,2018,,88.69,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT33,Tirol,2019,,92.95,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT33,Tirol,2020,,91.54,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT33,Tirol,2021,,93.11,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT33,Tirol,2022,,94.70,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT34,Vorarlberg,2011,,81.93,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT34,Vorarlberg,2012,,81.03,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT34,Vorarlberg,2013,,83.81,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT34,Vorarlberg,2014,,81.50,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT34,Vorarlberg,2016,,88.05,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT34,Vorarlberg,2017,,87.10,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT34,Vorarlberg,2018,,90.77,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT34,Vorarlberg,2019,,90.42,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT34,Vorarlberg,2020,,93.40,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT34,Vorarlberg,2021,,96.89,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT34,Vorarlberg,2022,,91.71,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2011,,74.51,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2012,,78.51,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2013,,78.03,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2014,,80.08,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2015,,80.34,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2016,,88.02,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2017,,85.27,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2018,,87.78,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2019,,88.97,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020,,89.52,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021,,92.53,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022,,95.76,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE21,Prov. Antwerpen,2011,,78.08,,,
