"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","AT11","Burgenland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,90.7,,
"2","Large regions (TL2)","AT12","Lower Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,90.7,,
"2","Large regions (TL2)","AT13","Vienna","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,92.49,,
"2","Large regions (TL2)","AT21","Carinthia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,89.48,,
"2","Large regions (TL2)","AT22","Styria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,89.63,,
"2","Large regions (TL2)","AT31","Upper Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,91.05,,
"2","Large regions (TL2)","AT32","Salzburg","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,91.99,,
"2","Large regions (TL2)","AT33","Tyrol","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,88.93,,
"2","Large regions (TL2)","AT34","Vorarlberg","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,93.63,,
"1","Country","BEL","Belgium","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,92.3,,
"2","Large regions (TL2)","BE1","Brussels Capital Region","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,92.53,,
"2","Large regions (TL2)","BE2","Flemish Region","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,93.73,,
"2","Large regions (TL2)","BE3","Walloon Region","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,89.74,,
"1","Country","FRA","France","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,88.11,,
"1","Country","DEU","Germany","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,88.84,"B","Break"
"2","Large regions (TL2)","DE1","Baden-Württemberg","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,87.89,"B","Break"
"2","Large regions (TL2)","DE2","Bavaria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,89.69,"B","Break"
"1","Country","LVA","Latvia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,89.48,,
"2","Large regions (TL2)","LV00","Latvia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2004","2004",,,"0","Units",,,5.4,,
"2","Large regions (TL2)","LV00","Latvia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2005","2005",,,"0","Units",,,13.9,,
"2","Large regions (TL2)","LV00","Latvia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2006","2006",,,"0","Units",,,22.5,,
"2","Large regions (TL2)","LV00","Latvia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2007","2007",,,"0","Units",,,31.9,,
"2","Large regions (TL2)","LV00","Latvia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2008","2008",,,"0","Units",,,39.7,,
"2","Large regions (TL2)","LV00","Latvia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2009","2009",,,"0","Units",,,50.2,,
"2","Large regions (TL2)","LV00","Latvia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,89.48,,
"1","Country","LTU","Lithuania","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,85.95,,
"2","Large regions (TL2)","DE3","Berlin","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,91.08,"B","Break"
"2","Large regions (TL2)","DE4","Brandenburg","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,85.11,"B","Break"
"2","Large regions (TL2)","DE5","Bremen","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,77.27,"B","Break"
"2","Large regions (TL2)","DE6","Hamburg","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,92.2,"B","Break"
"2","Large regions (TL2)","DE7","Hesse","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,91.63,"B","Break"
"2","Large regions (TL2)","DE8","Mecklenburg-Vorpommern","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,80.09,"B","Break"
"2","Large regions (TL2)","DE9","Lower Saxony","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,86.79,"B","Break"
"2","Large regions (TL2)","DEA","North Rhine-Westphalia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,91.01,"B","Break"
